# Machine-readable scope + parity ledger.
#
# Rows are MODULE-granular for in-scope code and subsystem-granular for what is ignored.
# Anything under agent/ or tools/ without a row here is implicitly OUT_OF_SCOPE. Tracking
# whole subsystems made the drift report useless: agent/ and tools/ are 266k lines and only
# ~38k of that is in scope, so staleness was dominated by code that will never be written.
# See SCOPE.md for the reasoning and REQUIREMENTS.md for the evidence.
#
# ported_from = upstream RELEASE TAG this was implemented against ("-" = nothing yet).
#
# This ledger tracks PORTING PARITY only: what upstream code was consumed, and at which
# tag. Native progress -- work designed here rather than ported, like core/tool.h against
# tool_executor's job -- is recorded in ROUTING.md section 12 and ROADMAP.md, never here.
# A NOT_PORTED row therefore says nothing about whether a native equivalent exists.
#
# status:
#   NOT_PORTED   - in scope, nothing consumed from upstream yet
#   PORTED       - implemented against the recorded tag
#   STALE        - computed, never written by hand (upstream moved past the recorded tag)
#   REFERENCE    - read for ideas, deliberately not ported; drift is worth knowing, not fixing
#   OUT_OF_SCOPE - deliberately not being built; upstream drift here is irrelevant
#
# Deliberately tag-granular, not commit-granular: upstream lands ~1100 commits/month but only
# ~2 releases. Tags are the review unit; drill to commits only when actually implementing.
#
# subsystem	upstream_path	ported_from	status
conversation_loop	agent/conversation_loop.py	-	NOT_PORTED
chat_completion	agent/chat_completion_helpers.py	-	NOT_PORTED
model_metadata	agent/model_metadata.py	-	NOT_PORTED
agent_init	agent/agent_init.py	-	NOT_PORTED
tool_executor	agent/tool_executor.py	-	NOT_PORTED
prompt_builder	agent/prompt_builder.py	-	NOT_PORTED
error_classifier	agent/error_classifier.py	-	NOT_PORTED
deadline	agent/deadline.py	-	NOT_PORTED
file_operations	tools/file_operations.py	-	NOT_PORTED
file_tools	tools/file_tools.py	-	NOT_PORTED
terminal_tool	tools/terminal_tool.py	-	NOT_PORTED
process_registry	tools/process_registry.py	-	NOT_PORTED
providers	providers/	-	NOT_PORTED
context_compressor	agent/context_compressor.py	-	REFERENCE
conv_compression	agent/conversation_compression.py	-	REFERENCE
auxiliary_client	agent/auxiliary_client.py	-	OUT_OF_SCOPE
mcp_tool	tools/mcp_tool.py	-	OUT_OF_SCOPE
approval	tools/approval.py	-	OUT_OF_SCOPE
hermes_cli	hermes_cli/	-	OUT_OF_SCOPE
gateway	gateway/	-	OUT_OF_SCOPE
tui_gateway	tui_gateway/	-	OUT_OF_SCOPE
acp_adapter	acp_adapter/	-	OUT_OF_SCOPE
plugins	plugins/	-	OUT_OF_SCOPE
skills	skills/	-	OUT_OF_SCOPE
cron	cron/	-	OUT_OF_SCOPE
